이름|영어이름|분류|설명|레벨1|레벨2|특수능력|특수능력설명
팔방의 날 유파|All Directions Edge Style|기사 유파|당신은 자신의 생명력을 절제되지 않은 폭력성이 담긴 기술의 연마와 맞바꿨습니다. 당신의 히트 주사위에 2점의 페널티가 생겨서, 일반적으로 1d6+2를 굴렸다면 이제는 1d6을 굴립니다. 이 포커스를 캐릭터 생성 이후에 가져간다면 당신의 최대 HP를 레벨당 2점씩 빼서 이 페널티를 반영하십시오.|전투 기술 하나를 보너스 기술로 배웁니다. 간단 행동으로 당신은 일반적이고, 상대를 붙잡지 않는 공격을 합니다. 당신은 이를 라운드당 한 번 할 수 있으며, 날마다 처음 이후에 사용되는 횟수마다 기관계 부담을 1점 더합니다.|하루당 한 번, 주요 행동으로 당신의 사정거리 안에 있는 적들을 한 번씩 공격합니다. 장거리 무기일 경우, 최대 횟수는 당신의 사격 기술 +1 입니다.||
촉매혼 유파|Catalytic Soul Style|기사 유파|당신의 장거리 공격은 당신의 동료들의 생명력을 촉매로 해서 공통된 적들에게 영혼의 피해를 줍니다. 이 유파는 충격이 없는 장거리 무기에만 사용할 수 있습니다.|사격을 보너스 기술로 얻습니다. 궁수 PC가 접전 도중 쏘는 화살은 우연하게 아군에게 명중하지는 않지만, 당신의 장거리 공격은 당신의 아군이 만질 수 조차 없으며 그들이 없는 것 처럼 뚫고 지나갑니다. 당신이 장거리 공격을 할 때 즉시 행동으로 당신의 공격 대상에 근접전 거리에 있는 아군을 지정하십시오. 공격의 대상이 지정된 아군의 충격에 피해를 받는다면 공격의 대상은 마치 해당 아군의 근접 공격을 받은 듯 충격 피해를 받습니다.|이 포커스의 1레벨로 인해 강화된 장거리 공격을 명중하면 당신 혹은 당신의 아군은 1점의 기관계 부담을 회복하고 2d6 + 대상의 레벨 혹은 HD 수 만큼 HP를 회복합니다. 특정 대상은 장면당 한 번 이 방법으로 회복할 수 있습니다.||
유령 궁수 유파|Ghost Archer Style|기사 유파|당신은 활이라는 개념에 깊은 영혼적인 연결이 생겼습니다. 당신은 활이나 석궁이 아닌 모든 무기를 사용할 때 -4 명중 페널티를 받습니다.|사격을 보너스 기술로 얻습니다. 간단 행동으로, 당신이 사격을 한 번이라도 해본 활의 영혼적인 복제품을 얻습니다; 이 복제품은 무게가 없고 당신의 손을 떠나면 사라지지만 원래 활의 모든 성질을 갖고 있습니다. 어떤 활이 이 유파의 사용자에게 복제됐다면, 그 사용자가 죽지 않는 이상 다른 누구도 그 활을 구현할 수 없습니다. 이 활들은 스스로 마법적인 화살을 만들지만, 추가적인 명중 혹은 피해 보너스는 없습니다. 당신은 적에 의해 근접전에 들어갔어도 평범하게 이 활을 쏠 수 있습니다.|장면당 한 번 간단 행동으로 사정거리 안의 위치에 화살을 쏩니다. 당신은 화살이 떨어진 곳으로 순간적으로 나타날 수 있습니다. 이 능력을 사용할 때마다 1점의 기관계 부담을 얻습니다.||
일점격 유파|One Point Strike Style|기사 유파|당신이 전투에서 기대는 것은 야만적인 힘과 세련되지 못한 속도가 아니라 맑은 생각입니다.|전투 기술을 하나 보너스 기술로 얻습니다. 당신의 모든 공격은 지능 혹은 지혜 수정치 중 가장 높은 값을 일반적인 수정치 대신에 사용합니다. 주요 행동으로 당신은 일반적인 근접 공격을 합니다; 이 공격은 최소 피해를 입히지만, d20을 굴리기 보다는 자동 15 값으로 취급됩니다. 이 공격은 전투 기동 혹은 잡기 시도로서 사용될 수 없습니다.|장면당 한 번, 즉시 행동으로 이 유파로 인한 물리 공격의 피해량은 최대치가 됩니다.||
천상의 화염 유파|Pyre of Heaven Style|기사 유파|당신의 무기는 당신의 적만을 태우는 천상의 화염으로 불타고 있습니다. 이 화염은 당신의 영혼의 힘으로 불타고 있으며, 그로 인한 대가가 있습니다.|전투 기술을 보너스 기술로 얻습니다. 당신은 매 라운드마다 화염 혹은 열기 피해 중 첫 5점을 무시할 수 있으며, 생각만으로도 횃불처럼 빛날 수 있습니다. 당신은 즉시 행동으로 기관계 부담 1점을 얻고 라운드의 종료까지 당신의 무기, 주먹, 그리고 남은 탄환을 발화시킬 수 있습니다. 발화하는 동안 해당 무기의 피해와 충격 피해에 당신의 캐릭터 레벨 +2 만큼 피해량이 늘어납니다. 적은 이러한 화염으로 인한 피해를 장면당 한 번 받을 수 있습니다.|1레벨과 같지만 당신은 추가적으로 비마법적인 화염 혹은 연기에 대해 면역입니다. 당신이 발화하면 당신의 신체 전부에 불이 붙지만, 당신이 해를 끼치고 싶지 않은 것들을 태우지는 않습니다. 당신은 발화하는 동안 붙잡힐 수 없습니다. 장면당 처음으로 발화하면 근접거리 내의 모든 적들은 당신의 레벨의 1/3 의 반올림 값 만큼 1d6 화염피해를 입습니다.||
의로운 강철 유파|Righteous Iron Style|기사 유파|당신은 무게에 상관없이 손쉽게 이동할 수 있도록 당신의 갑옷을 두번째 피부로 만드는 법을 배웠습니다. 이 유파는 중갑옷을 입을 때만 적용할 수 있으며, 1레벨 효과는 당신이 들고 다니는 방패로까지 확장되지 않습니다. 1레벨에 선택된 경우, 당신은 750 은화 가격 미만의 중갑 하나를 가지고 시작할 수 있습니다.|운동을 보너스 기술로 얻습니다. 당신이 입는 갑옷은 당신이 입을 때 AC에 +1 보너스가 생기며, 하중이 0이 되지만, 무장 마법사(Armored Magic) 포커스에 한해서는 하중이 있는 것으로 취급됩니다. 갑옷은 당신의 잠행 혹은 운동 기술 판정에 페널티를 주지 않으며, 당신은 갑옷 안에서 편하게 잘 수 있습니다. 마법적인 오염으로 더러워지지 않은 이상 당신과 당신의 갑옷은 깨끗하고 유지가 잘 됩니다.|당신은 자신이 입는 강철의 굳건함과 함께합니다. 갑옷을 입고 있는 동안 당신은 먹거나, 마시거나, 자거나, 숨을 쉴 필요가 없으며, 일반적인 기후의 추위와 더위에 면역입니다. 이 유파의 갑옷 AC 보너스는 +1이 아니라 +2가 됩니다.||
세계수의 창 유파|World Tree Lance Style|기사 유파|당신의 창은 하늘의 기둥이며, 어떠한 적도 그 범위의 밖에 있지 않습니다. 이 유파는 창, 파이크, 혹은 비슷한 장병기 계열 무기에만 적용됩니다.|접전 기술을 보너스로 얻습니다. 당신이 장착하는 창은 무게가 없으며, 던져질 경우 항상 당신의 손으로 돌아옵니다. 만약 창이 일반적으로 투척 가능하다면, 그 사정거리는 두 배가 됩니다. 투척이 가능하지 않은 경우 30/60 ft의 사정거리가 생깁니다. 당신의 창은 공격과 피해 굴림에 +1 보너스를 받고, 마법무기 취급을 받습니다.|창을 장착하고 있는 동안, 당신의 효과적인 접근전 범위는 10 + 당신의 캐릭터 레벨입니다. 당신과 당신의 적 사이에 있는 아군은 당신의 근접 공격을 방해하지 않지만 적들의 몸으로 이루어진 장벽은 충분히 방해가 될 수 있습니다. 이 능력은 긴(Long) 마법 아이템의 능력과 중첩되지 않습니다.||
진노하는 산 유파|Wrathful Mountain Style|기사 유파|당신은 당신의 아군들을 해하는 자들에 대한 증오로 가득찬 장벽이지만, 극단적으로 방어적인 유파는 공격성에 있어서 대가가 있습니다. 당신은 모든 공격 굴림에 -2 페널티를 받습니다.|접전 혹은 격투를 보너스 기술로 얻습니다. 당신은 하중 0의 커다란 마법 방패를 즉시 행동으로 구현할 수 있으며, 이 방패는 당신 손이 비어있지 않더라도 사용이 기능하고, 당신이 원할 때까지 남아있습니다. 라운드당 한 번 누군가가 당신이 아군 보호로 보호한 대상에게 근접 공격을 한다면, 그 공격이 완료되기 이전 즉시 행동으로 근접 무기 공격을 할 수 있습니다.|당신이 보호한 아군이 장거리에서 공격을 당해도 당신의 반격은 거리에 상관없이 공격할 수 있게 하는 마법적인 공격이 됩니다. 당신이 즉시 행동으로 1점의 기관계 부담을 받는다면, 당신은 남은 라운드동안 당신이 보호한 아군을 공격하는 모든 대상에게 반격을 할 수 있습니다. 적 하나당 라운드별로 최대 한 번 공격 할 수 있습니다.||
위험 감각|Danger Sense|성혈|당신은 예상치 못한 위험을 조우함에 있어서 준초자연적 감각을 갖고 있습니다.|당신은 감지를 보너스 기술로 얻습니다. 당신은 당신이나 당신의 주위 근처에 있는 대상을 향한 처형 공격을 어떻게든 막을 수 있을 정도의 시간 내에 파악할 수 있습니다. 하루당 한 번 함정을 발동시키거나, 매복을 당하거나, 당신이 부상을 입히거나 죽을 수 있는 상황에 직면하기 이전, 행동을 멈출 수 있을 정도의 시간을 남기고 위험을 예지할 수 있습니다.|당신의 주변 파악 능력은 더 날카로워집니다. 당신의 지혜 수정치에 +1 보너스를 얻습니다. 하루당 한 번 위험에 처했을 때 즉시 행동으로 당신과 당신의 아군이 최소한의 피해로 이 위기를 탈출할 수 있는 GM이 생각하기에 가장 타당한 방법을 직관적으로 알 수 있습니다.||
둘의 광기|Folie a Deux|성혈|당신의 거짓말에 들어있는 신념은 너무 강렬해서 당신조차 순간적으로 믿습니다.|설득을 보너스 기술로 얻습니다. 당신의 거짓말이나 속임수는 거짓말과 속임수처럼 보이지 않습니다. 각종 주문과 능력은 단순히 당신이 당신이 하는 말을 스스로 믿고 있다고 판정됩니다. 하루에 한 번, 당신은 당신이 하는 모든 주장이나 서술을 당신 본인이 정말 절실하게 믿고 있다고 청자를 믿게 만들 수 있습니다. 이 믿음은 새로운 상황이나 증거가 그러한 믿음을 저버리게 하기 전까지 지속됩니다. 첫 번째 거짓말이 들통날 경우, 대상은 이 능력에 대해서 면역이 됩니다.|당신이 하는 모든 것에서 당신의 진솔함은 빛납니다. +1 매력 수정치를 얻습니다. 하루에 한 번, 새빨간 거짓말을 다른 사람에게 합니다. 그것이 물리적으로 불가능하거나, 감정적으로 용납이 되지 않는 것이 아니라면 대상은 당신의 설득 기술 레벨만큼 페널티를 받는 정신 내성을 굴리고 실패시, 해당 거짓말을 1d4 라운드만큼 믿습니다. 그 이후, 정상적인 판단력이 다시 돌아옵니다.||
